Orthogroup	Species	Mycoplasma_genitalium	Orthologs
OG0000081	Mycoplasma_gallisepticum	gi|3844669|gb|AAC71300.1|	gi|31541715|gb|AAP57015.1|
OG0000082	Mycoplasma_hyopneumoniae	gi|3844929|gb|AAC71571.1|	gi|144227485|gb|AAZ44230.2|
OG0000082	Mycoplasma_agalactiae	gi|3844929|gb|AAC71571.1|	gi|290752351|emb|CBH40322.1|
OG0000082	Mycoplasma_gallisepticum	gi|3844929|gb|AAC71571.1|	gi|284812027|gb|AAP56668.2|
OG0000083	Mycoplasma_hyopneumoniae	gi|3845035|gb|AAC72462.1|	gi|71851569|gb|AAZ44177.1|
OG0000083	Mycoplasma_agalactiae	gi|3845035|gb|AAC72462.1|	gi|290752354|emb|CBH40325.1|
OG0000083	Mycoplasma_gallisepticum	gi|3845035|gb|AAC72462.1|	gi|284812230|gb|AAP56972.2|
OG0000084	Mycoplasma_hyopneumoniae	gi|3844673|gb|AAC71304.1|	gi|144227467|gb|AAZ44188.2|
OG0000084	Mycoplasma_agalactiae	gi|3844673|gb|AAC71304.1|	gi|290752357|emb|CBH40328.1|
OG0000084	Mycoplasma_gallisepticum	gi|3844673|gb|AAC71304.1|	gi|31541766|gb|AAP57065.1|
OG0000085	Mycoplasma_hyopneumoniae	gi|3844690|gb|AAC71320.1|	gi|71851581|gb|AAZ44189.1|
OG0000085	Mycoplasma_agalactiae	gi|3844690|gb|AAC71320.1|	gi|290752358|emb|CBH40329.1|
OG0000085	Mycoplasma_gallisepticum	gi|3844690|gb|AAC71320.1|	gi|284812132|gb|AAP56811.2|
OG0000086	Mycoplasma_hyopneumoniae	gi|3844867|gb|AAC71496.1|	gi|71851595|gb|AAZ44203.1|
OG0000086	Mycoplasma_agalactiae	gi|3844867|gb|AAC71496.1|	gi|290752360|emb|CBH40331.1|
OG0000086	Mycoplasma_gallisepticum	gi|3844867|gb|AAC71496.1|	gi|31541535|gb|AAP56835.1|
OG0000087	Mycoplasma_hyopneumoniae	gi|3844866|gb|AAC71495.1|	gi|71851596|gb|AAZ44204.1|
OG0000087	Mycoplasma_agalactiae	gi|3844866|gb|AAC71495.1|	gi|290752361|emb|CBH40332.1|
OG0000087	Mycoplasma_gallisepticum	gi|3844866|gb|AAC71495.1|	gi|284812147|gb|AAP56834.2|
OG0000088	Mycoplasma_hyopneumoniae	gi|1045966|gb|AAC71494.1|	gi|71851981|gb|AAZ44589.1|
OG0000088	Mycoplasma_agalactiae	gi|1045966|gb|AAC71494.1|	gi|290752363|emb|CBH40334.1|
OG0000088	Mycoplasma_gallisepticum	gi|1045966|gb|AAC71494.1|	gi|31541533|gb|AAP56833.1|
OG0000089	Mycoplasma_hyopneumoniae	gi|1045965|gb|AAC71493.1|	gi|71851982|gb|AAZ44590.1|
OG0000089	Mycoplasma_agalactiae	gi|1045965|gb|AAC71493.1|	gi|290752364|emb|CBH40335.1|
